Sr_no,Model_Name,Fuel_Type,Spark_Plugs,Battery,Windshield,Tires,Suspensions_FR,AC,Clutch,Sterring,Side_mirror,ECM_Repair
1,Hyundai Creta,Petrol,254,6899,6020,10758,2593,3000,1500,8150,4169,10200
2,Hyundai veneu,Petrol,1125,6899,5495,9423,1712,2999,10799,9650,3749,10200
3,Hyundai Exter,Petrol,1500,6899,5495,9423,1712,2999,10799,9650,3749,10200
4,KIA Seltos,Diesel,1500,9599,6440,7262,6250,2899,3399,9700,2400,10200
5,KIA Sonet,Petrol,400,6399,5600,9223,6250,2899,3399,8150,2400,10200
6,KIA Carnival,Diesel,13000,9799,14365,13281,12029,2999,21999,17250,2400,15250
7,Mahindra Scorpio,Diesel,500,7680,6230,12560,4700,2999,9749,6150,3612,10200
8,Mahindra XUV300,Petrol,322,6899,5600,11530,2087,2999,8749,9650,3150,10200
9,Mahindra XUV700,Petrol,500,9700,10010,12560,3699,2999,13799,15250,2700,15250
